ID,Title,Author,Year,Data Origin,Visual Dim,Space Scale Start,Space Scale Finish,Time Scale Start,Time Scale Finish,Level,Multi scale,Human,Phys/Anat,Survey model method tool,Exploration,Analysis,Communication,Purpose test,Purpose comment,Process,*Process,Structure,Origin,Concept,Image Name,Bibtex Authors,Abstract,Keywords,Future work,DOI,in vitaLITy?,in paper
S1,Visualization of Biological Data ,Aerts et al.,2018,"varied, omics data",2,-10,-4,-15,6,"Molecule, Cell, Tissue, Organ",1,1,"Phyiology, Aanatomy",Outlook,0.25,0.75,0,1,"focus on this type of data is more about analysis and less about exploring the unabstracted input data, although this is also a component (as in, if we want to know who the players are in a biological network)",molecular pathways,,"Molecule, biological networks","bioinformatics, vis","Dagstuhl seminar to explore collaboration opportunities for Vis with Bioinformatics, focus on high dimensional data that is medical, genomic, or biological network in origin. There was a ""card game"" developed that provided means for thought experiment on thinking about visualization of biological networks, high-d biological data, etc.",aerts.png,"Aerts, Jan; Gehlenborg, Nils; Marai, Georgeta Elisabeta; Nieselt, Kay Katja; Wagner, Michael","Our ability to generate and collect biological data has accelerated signiﬁcantly in the past two decades. In response, many novel computational and statistical analysis techniques have been developed to process and integrate biological data sets. However, in addition to computational and statistical approaches, visualization techniques are needed to enable the interpretation of data as well as the communication of results. The design and implementation of such techniques lies at the intersection of the biology, bioinformatics, and data visualization ﬁelds. The purpose of Dagstuhl Seminar 18161 “Visualization of Biological Data – Crossroads” was to bring together researchers from all three ﬁelds, to identify opportunities and challenges, and to develop a path forward for biological data visualization research.","biological network, genomics, high-dimensional data",--,10.4230/DAGREP.8.4.32,n,done in introduction-challenges
S2,Visual Methods for Analyzing Time-Oriented Data,Aigner et al.,2008,varied ,"2, 3",-3,0,-3,3,"Organ, *Organism",1,1,Physiology,Survey,0,1,0,1,"Main idea of the applications highlighted is to analyze how data are changing over time, e.g., in application Midgaard, which shows blood-gas measurements which is a systems level thing - interaction between cardiovascular system and the respiratory system ","blood pressure (many processes highlighted, all from different domains outside of physiology, but this was one example that was physiology-focused)",,Vasculature,Vis,"overview of time-oriented data, one notable work included a visual analytics tool to explore variation in blood pressure, which is related to blood flow. These include Midgaard and Vie-Vent",midgaard.png,"Aigner, Wolfgang; Miksch, Silvia; Müller, Wolfgang; Schumann, Heidrun; Tominski, Christian","Providing appropriate methods to facilitate the analysis of time-oriented data is a key issue in many application domains. In this paper, we focus on the unique role of the parameter time in the context of visually driven data analysis. We will discuss three major aspects - visualization, analysis, and the user. It will be illustrated that it is necessary to consider the characteristics of time when generating visual representations. For that purpose, we take a look at different types of time and present visual examples. Integrating visual and analytical methods has become an increasingly important issue. Therefore, we present our experiences in temporal data abstraction, principal component analysis, and clustering of larger volumes of time-oriented data. The third main aspect we discuss is supporting user-centered visual analysis. We describe event-based visualization as a promising means to adapt the visualization pipeline to needs and tasks of users.","visual analysis, guidance, multiple views",--,10.1109/TVCG.2007.70415,y - in central body of map,"done, in introduction (general methods)"
S3,Molecular visualization of computational biology data: A survey of surveys,Alharbi et al.,2017,"simulation, x-ray crystallography, nmr, cryo-em",3,-10,-6,-15,5,Molecule,0,1,"Physiology, Anatomy",Survey,0.25,0.75,0,1,Main focus of the tools used/developed are for visual analysis and/or to observe the results of a simulation/the dynamics of molecules at an atomistic level or more coarsely,molecular dynamics,,"Molecules, Organelles, Cells",Vis,"Alharbi et al. (2017) present the first survey of surveys on molecular dynamics visualization involving survey papers from the
computational biology community as well as computer graphics. The literature reviews cover selected, related topics: visualization of molecular structures (Goddard and Ferrin [GF07], Kozlíková et al. [KKF∗16]) and software dedicated to this task (O’Donoghue et al. [OGF∗10]), advances based on Graphics Processing Units (GPUs) (Chavent et al. [CLK∗11], Stone et al. [SHUS10]), detection and analysis of cavities in proteins (Brezovsky et al. [BCG∗13], Krone et al. [KKL∗16]), time-dependent biological data (Secrier and Schneider [SS13]), and new challenges in molecular modelling leading to new visualization questions (Chavent et al. [CDS16], Im et al [ILO∗16]). As a useful introduction to the links between molecular simulation and visualization, we discuss the review by Hirst et al. [HGB14]. 
As our literature selection covers a large time span, we focus on the last fifty years from the mid-sixties to 2016. This is a limited study with 11 survey papers (EuroVis short paper)",alharbi-sos.png,"Alharbi, Naif; Alharbi, Mohammad; Martinez, Xavier; Krone, Michael; Rose, Alexander S.; Baaden, Marc; Laramee, Robert S.; Chavent, Matthieu","Visualizations for computational biology have been developing for over 50 years. With recent advances in both computational biology and computer graphics techniques, these fields have witnessed rapid technological advances in the last decade. Thus, coping with the large number of scientific articles from both fields is a challenging task. Furthermore, there remains a gap between the two communities of visualization and computational biology, resulting in additional challenges to bridge the divide. A team of computational biology and visualization scientists attempts to address these challenges by presenting unified state-of-the-art reviews from both communities. We apply a variety of data-driven analysis to highlight links or differences between studies from both communities. This approach facilitates the identification of present and future challenges in visualizing and analyzing computational biology data. It offers a distinctive step forward in managing the literature on visualization of molecular dynamics and related simulation approaches.","computational biology, protein dynamics, protein cavities","encourage further collaboration between computational biology and visualization communities, this survey of surveys provides that first step",10.2312/eurovisshort20171146,n,done in molecular function
S4,Towards virtual physiological human: Multilevel modelling and simulation of the human anatomy and physiology,Ayache et al.,2005,Simulation,0,-9,0,-9,5,"Molecule, Organelle, Cell, Tissue, Organ",1,1,Both,Outlook,0,0,0,"Only modeling, but multisclae",Human physiology,Human body,,Interdisciplinary,Interdisciplinary project to model and simulate human physiology,---,"Developing the computational framework and ICT based tools for the multilevel modelling and simulation of the human anatomy and physiology - here referred to as the Virtual Physiological Human (VPH)- is, perhaps, the ‘grand challenge’ for several disciplines at the cross-road of ICT and the biosciences. The VPH will have impact on the way health knowledge is formalised, acquired, understood, represented, analysed, communicated and validated. It will create a new basis for research and healthcare and will open up new opportunities for industrial development.",---,---,--,"n
**has 2 other papers coauthored in VCBM ",y,n,"done, in introduction (motivation/projects)"
S5,The Ultrasound Visualization Pipeline,Birkeland et al.,2014,US,"2, 3",-3,-1,-3,0,"Tissue, Organ",0,1,Physiology,Survey,0.75,0.25,0,1,"visualization tasks outlined are more on the level of explore or analyze, but more weight towards visualizing the ultrasound data","blood flow, fetal development, heart valves, others",,"Heart, Aorta, Liver, Fetus, etc.",Vis,"Survey of visualization for ultrasound organized as a process-pipeline, including an overview of the tasks performed in the specific steps.
**Ultrasound allows for extracting more information, such as tissue strain. Strain is a tissue-deformation property and can be used to detect functional deficiencies, e.g., from myocardial infarction. Strain determination via tissue tracking is a complex task and can be done by using tissue Doppler",birkeland-us.png,"Birkeland, Åsmund; Šoltészová, Veronika; Hönigmann, Dieter; Gilja, Odd Helge; Brekke, Svein; Ropinski, Timo; Viola, Ivan","Ultrasound is one of the most frequently used imaging modality in medicine. The high spatial resolution, its interactive nature and non-invasiveness
makes it the first choice in many examinations. Image interpretation is one of ultrasound’s main challenges. Much training is required to obtain a confident skill level in ultrasound-based diagnostics. State-of-the-art graphics techniques is needed to provide meaningful visualizations of ultrasound in real-time. In this paper we present the process-pipeline for ultrasound visualization, including an overview of the tasks performed in the specific steps. To provide an insight into the trends of ultrasound visualization research, we have selected a set of significant publications and divided them into a technique-based taxonomy covering the topics pre-processing, segmentation, registration, rendering and augmented reality. For the different technique types we discuss the difference between ultrasound-based techniques and techniques for other modalities.",--,--,10.1007/978-1-4471-6497-5_24,n,"done, in organ function"
S6,Multiscale Visualization: A Structured Literature Analysis,Cakmak et al.,2021,--,-- ,-,-,-,-,--,1,0,Physiology,Survey,0.5,0.5,0,1,"Paper includes short discussion of biological applications, noting common juxtaposition of visualizations. such as 3D and graph
representations. Typical targets are to explore and summarize similar network and geometric (4) datasets features (8) and distributions (4), such as 3D shapes (5), network topologies, and paths. The interaction methods are selecting and navigating in a top-down fashion to filter and change categorical data attributes across micro and mesoscale. The paper evaluations are usage scenarios and qualitative studies. They specifically call out abstractocyte",---,,---,Visualization,review of multiscale visualization papers across disciplines that are categorized according to common design factors. Authors provide helpful definition of multiscale ,- ,"Cakmak, Eren; Jackle, Dominik; Schreck, Tobias; Keim, Daniel; Fuchs, Johannes","Multiscale visualizations are typically used to analyze multiscale processes and data in various application domains, such as the visual exploration of hierarchical genome structures in molecular biology. However, creating such multiscale visualizations remains challenging due to the plethora of existing work and the expression ambiguity in visualization research. Up to today, there has been little work to compare and categorize multiscale visualizations to understand their design practices. In this work, we present a structured literature analysis to provide an overview of common design practices in multiscale visualization research. We systematically reviewed and categorized 122 published journal or conference papers between 1995 and 2020. We organized the reviewed papers in a taxonomy that reveals common design factors. Researchers and practitioners can use our taxonomy to explore existing work to create new multiscale navigation and visualization techniques. Based on the reviewed papers, we examine research trends and highlight open research challenges.","Multiscale Visualization, Multiscale Navigation, Multiscale Exploration, Literature Analysis, Taxonomy, Survey",-,10.1109/TVCG.2021.3109387,n,"done, use definition in multiscale section, also in introduction"
S7,"Multiphysics and multiscale modelling, data–model fusion and integration of organ physiology in the clinic: ventricular cardiac mechanics",Chabiniok et al.,2016,simulation,3,-6,-1,-6,0,"Organ, Tissue",1,1,Physiology,Survey,0.25,0.75,0,1,"model analysis provides novel insight, the difficulty then turns to translating these findings into clinically useable decision-making tools that can be robustly tested through clinical trials, proving their efficacy and superiority compared to existing techniques",heart mechanics,,Heart,biomechanics,"In this review, we consider the recent advances in ventricular cardiac mechanics modelling and translation to clinical applications. [..] After the challenges of data–model fusion are met and model analysis provides novel insight, the difficulty then turns to translating these findings into clinically useable decision-making tools that can be robustly tested through clinical trials, proving their efficacy and superiority compared to existing techniques. This effort is the principle aim of translational cardiac modelling (TCM), bringing cardiac modelling and model-based outcomes into the clinical routine.",chabiniok.jpg,"Chabiniok, Radomir; Wang, Vicky Y.; Hadjicharalambous, Myrianthi; Asner, Liya; Lee, Jack; Sermesant, Maxime; Kuhl, Ellen; Young, Alistair A.; Moireau, Philippe; Nash, Martyn P.; Chapelle, Dominique; Nordsletten, David A.","With heart and cardiovascular diseases continually challenging healthcare systems worldwide, translating basic research on cardiac (patho)physiology into clinical care is essential. Exacerbating this already extensive challenge is the complexity of the heart, relying on its hierarchical structure and function to maintain cardiovascular flow. Computational modelling has been proposed and actively pursued as a tool for accelerating research and translation. Allowing exploration of the relationships between physics, multiscale mechanisms and function, computational modelling provides a platform for improving our understanding of the heart. Further integration of experimental and clinical data through data assimilation and parameter estimation techniques is bringing computational models closer to use in routine clinical practice. This article reviews developments in computational cardiac modelling and how their integration with medical imaging data is providing new pathways for translational cardiac modelling.",cardiac mechanics; data–model fusion; heart mechanics; patient-specific modelling; translational cardiac modelling,cardiac mechanics; data–model fusion; heart mechanics; patient-specific modelling; translational cardiac modelling,10.1098/rsfs.2015.0083,n,"in multiscale section, ""beyond"" part"
S8,Structure and dynamics of molecular networks: A novel paradigm of drug discovery,Csermely et al.,2013,"genomics, proteomics data",2,-9,-7,-6,5,Molecule,0,1,Physiology,Survey,0.25,0.75,0,1,"network visualization to aid in analysis for drug development, often node-link but can be e.g., alluvial diagrams","molecule pathway, network",,molecules,pharmacology,"Summarizing >1200 references we suggest an optimized protocol of network-aided drug development, and provide a list of systems-level hallmarks of drug quality. Finally, we highlight network-related drug development trends helping to achieve these hallmarks by a cohesive, global approach. Visualization of networks here mentioned as a help in analysis ",csermely.jpg,"Csermely, Peter; Korcsmáros, Tamás; Kiss, Huba J. M.; London, Gábor; Nussinov, Ruth","Despite considerable progress in genome- and proteome-based high-throughput screening methods and in rational drug design, the increase in approved drugs in the past decade did not match the increase of drug development costs. Network description and analysis not only give a systems-level understanding of drug action and disease complexity, but can also help to improve the efficiency of drug design. We give a comprehensive assessment of the analytical tools of network topology and dynamics. The state-of-the-art use of chemical similarity, protein structure, protein–protein interaction, signaling, genetic interaction and metabolic networks in the discovery of drug targets is summarized. We propose that network targeting follows two basic strategies. The “central hit strategy” selectively targets central nodes/edges of the flexible networks of infectious agents or cancer cells to kill them. The “network influence strategy” works against other diseases, where an efficient reconfiguration of rigid networks needs to be achieved by targeting the neighbors of central nodes/edges. It is shown how network techniques can help in the identification of single-target, edgetic, multi-target and allo-network drug target candidates. We review the recent boom in network methods helping hit identification, lead selection optimizing drug efficacy, as well as minimizing side-effects and drug toxicity. Successful network-based drug development strategies are shown through the examples of infections, cancer, metabolic diseases, neurodegenerative diseases and aging. Summarizing >1200 references we suggest an optimized protocol of network-aided drug development, and provide a list of systems-level hallmarks of drug quality. Finally, we highlight network-related drug development trends helping to achieve these hallmarks by a cohesive, global approach.","network visualization, node-link diagram, alluvial visualization ","Visualization of networks improved over the years (see Table 1), but there is still room for development of 3D, large-capacity, zoom-in-type network visualization tools.",10.1016/j.pharmthera.2013.01.016,n,in molecular function
S9,Whole-Cell Models and Simulations in Molecular Detail,"Feig, Sugita",2019,Simulation,3,-10,-5,-9,5,"Cell, Molecule",0,0,Physiology,Survey,1,0,0,1,visualize results of simulation to understand crowding in cell environment,cellular system pathways,,"Molecules, Cell",systems biology,This review outlines challenges in constructing and simulating such models and discusses near- and long-term opportunities for developing physical whole-cell models that can connect molecular structure with biological function.,feig2019.jpg,"Feig, Michael; Sugita, Yuji","Comprehensive data about the composition and structure of cellular components have enabled the construction of quantitative whole-cell models. While kinetic network-type models have been established, it is also becoming possible to build physical, molecular-level models of cellular environments. This review outlines challenges in constructing and simulating such models and discusses near- and long-term opportunities for developing physical whole-cell models that can connect molecular structure with biological function.",crowding; molecular dynamics simulation; network models; protein structure; systems biology,"""The simulation of such systems on biologically relevant timescales is the biggest hurdle, but a lack of experimental data, especially for biomolecular structure, hinders progress as well. A viable strategy may be to apply multiscale modeling strategies in which atomistic models are used only to establish shorter-term behavior at the molecular scale and train CG models that can reach larger scales. Even just at the intermediate scales of individual biomolecules exposed to cellular environments, instead of modeling entire cells, there is actually much that remains to be learned in terms of fundamental biophysics, and this is probably where physical models of cellular environments can have the greatest impact in the near future. However, as the understanding of biomolecular behavior in cells becomes more comprehensive, physical models could be coupled with kinetic network models to add reactivity and to access even longer timescales. Ultimately, only a fully integrated approach that applies different, but connected, frameworks across different scales will likely succeed in truly capturing how molecular behavior in cellular environments leads to cellular phenotypes. The focus of this review is on computational modeling, but the role of experiments is essential not only for providing input data but also for validating results from modeling and simulation. Experimental validation will require advances also on the experimental side, which we hope will be stimulated by progress on the modeling side.""",10.1146/annurev-cellbio-100617-062542,n,"done, in cell function intro part"
S10,Reaching new levels of realism in modeling biological macromolecules in cellular environments,"Feig, Sugita",2013,simulation ,3,-10,-7,-9,5,"Cell, Molecule",0,1,Physiology,Survey,1,0,0,1,visualize results of simulations/models,"molecular reaction, pathways, cell dynamics",cell dynamics,"molecules, cell",biology/molecular chemistry ,"In this review, recent modeling efforts to study the structure and dynamics of biomolecules in the cellular context are contrasted and discussed in the context of providing a deeper understanding of cellular environments that includes a variety of different aspects ranging from crowding effects to biochemical reaction networks. It is clear that much progress has been made in modeling different levels of detail and processes at different spatial or temporal scales. However, there is still a relative lack of integration between scales that is necessary to provide a truly comprehensive view. 
Cellular environments involve a wide range of temporal and spatial scales; Models of macromolecules in cellular environments ranging from atomistic to coarse-grained levels; Integration of models at different scales is a key challenge in achieving more realistic cellular models. ",feig.jpg,"Feig, Michael; Sugita, Yuji","An increasing number of studies are aimed at modeling cellular environments in a comprehensive and realistic fashion. A major challenge in these efforts is how to bridge spatial and temporal scales over many orders of magnitude. Furthermore, there are additional challenges in integrating different aspects ranging from questions about biomolecular stability in crowded environments to the description of reactive processes on cellular scales. In this review, recent studies with models of biomolecules in cellular environments at different levels of detail are discussed in terms of their strengths and weaknesses. In particular, atomistic models, implicit representations of cellular environments, coarse-grained and spheroidal models of biomolecules, as well as the inclusion of reactive processes via reaction–diffusion models are described. Furthermore, strategies for integrating the different models into a comprehensive description of cellular environments are discussed.",Crowding; Confinement; Reaction–diffusion; Coarse-graining; Implicit solvent; Brownian dynamics,"There appear to be many opportunities, however, to further develop methods that can bridge between scales and that, we believe, will ultimately lead to fully integrated cellular models that are both physically accurate and biologically relevant and thus can serve as a platform for in silico cellular models with broad practical applications. Another opportunity is better integration of modeling with emerging experimental techniques that are increasingly able to provide high-resolution imaging of cellular systems, such as those based on small-angle X-ray scattering (SAXS)[236], free-electron X-ray lasers (XFEL)[237] and super-resolution fluorescence microscopy ",10.1016/j.jmgm.2013.08.017,n,"done, in cell function intro part"
