Key from main,Title,Author,Year,Data Origin,Visual Dim,Space Scale Start,Space Scale Finish,Time Scale Start,Time Scale Finish,Level,Multi scale,Human,Phys/Anat,Survey model method tool,Old Purpose,Exploration,Analysis,Communication,Purpose test,Purpose comment,Process,Structure,Origin,Concept,Ref. Image,Image Name,Bibtex Authors,Abstract,Keywords,Future work
1,"The Cat is Out of the Bag: Cortical Simulations with 10^9 Neurons, 10^13 Synapses",Ananthanarayanan et al.,2009,Simulation,0,-5,-1,-6,-2,"Cell, Tissue, Organ",0,0,Physiology,Simulation,Process simulation,1,0,0,1,simulation on supercomputer and accordingly analyzed,brain activity,Brain,Computing,"Massive parallel cortical simulator, able to simulate billions of neurons and trillions of synapses, to study the brain cortex activity. Visualization of simulation state of brain network. Combination of EEG and plots showing the firing rate of neurons.",#NAME?,ananthanarayanan.jpg,"Ananthanarayanan, Rajagopal; Esser, Steven K.; Simon, Horst D.; Modha, Dharmendra S.","In the quest for cognitive computing, we have built a massively parallel cortical simulator, C2, that incorporates a number of innovations in computation, memory, and communication. Using C2 on LLNL's Dawn Blue Gene/P supercomputer with 147. 456 CPUs and 144 TB of main memory, we report two cortical simulations at unprecedented scale { that effectively saturate the entire memory capacity and refresh it at least every simulated second. The rst simulation consists of 1:6 billion neurons and 8:87 trillion synapses with experimentally-measured gray matter thalamocortical connectivity. The second simulation has 900 million neurons and 9 trillion synapses with probabilistic connectivity. We demonstrate nearly perfect weak scaling and attractive strong scaling. The simulations, which incorporate phenomenological spiking neurons, individual learning synapses, axonal delays, and dynamic synaptic channels, exceed the scale of the cat cortex, marking the dawn of a new era in the scale of cortical simulations.","EEG waveplot, heatmap, topographic plot",Human brain with better supercomputers
2,Using Python for Signal Processing and Visualization,"Anderson, Preston, Silva",2010,"MRI, EEG",3,-2,-2,-3,0,Organ,0,1,Physiology,Method,Process analysis,0.75,0.25,0,1,using python for direct visualization and visual analysis,brain activity,Brain,Computing,"Anderson et al. have demonstrated a strength of using python for rapid prototyping of visualization solultions. With python, they have combined MRI and EEG to get spatial visualization of the alpha band brain activity from 64 EEG sensors.",#NAME?,anderson.jpg,"Anderson, Erik W.; Preston, Gilbert A.; Silva, Claudio T.",Applying Python to a neuroscience project let developers put complex data processing and advanced visualization techniques together in a coherent framework.,"time frequency plot, surface mapping",---
3,Straightening Tubular Flow for Side-by-Side Visualization,Angelelli et al.,2011,PC-MRI,3,-3,-2,-2,0,"Tissue, Organ",0,1,Physiology,Method,Process analysis,0.5,0,0.5,1,"Straightening tubular structure, and juxtapositioning to allow comparative visualization of flow. Created to clearly communicate flow pattern in aorta",blood flow,artery,vis,"To overcome the problem of occlusion, and to visualize different time steps of the flow, Anglelelli et al. have proposed a method, where the aorta structure, and the flow inside it, is straightened. This way, it is possible to explore the flow without the occlusion. Moreover comparative visualization is possible by putting flow of  different time steps, or other varying properties, side by side.",,angelelli.jpg,"Angelelli, Paolo; Snare, Sten Roar; Nyrnes, Siri Ann; Bruckner, Stefan; Hauser, Helwig; Løvstakken, Lasse","Flows through tubular structures are common in many fields, including blood flow in medicine and tubular fluid flows in engineering. The analysis of such flows is often done with a strong reference to the main flow direction along the tubular boundary. In this paper we present an approach for straightening the visualization of tubular flow. By aligning the main reference direction of the flow, i.e., the center line of the bounding tubular structure, with one axis of the screen, we are able to natively juxtapose (1.) different visualizations of the same flow, either utilizing different flow visualization techniques, or by varying parameters of a chosen approach such as the choice of seeding locations for integration-based flow visualization, (2.) the different time steps of a time-dependent flow, (3.) different projections around the center line , and (4.) quantitative flow visualizations in immediate spatial relation to the more qualitative classical flow visualization. We describe how to utilize this approach for an informative interactive visual analysis. We demonstrate the potential of our approach by visualizing two datasets from different fields: an arterial blood flow measurement and a tubular gas flow simulation from the automotive industry.","comparative visualization, flow visualization, streamlines, shape deformation",---
4,Live ultrasound-based particle visualization of blood flow in the heart,"Angelelli, Hauser",2014,US,2,-3,-2,-3,0,"Tissue, Organ",0,1,Physiology,Method,Direct visualization,0.75,0.25,0,1,"The main contribution of this paper is a new, fully integrated and GPU based real-time solution that is capable of extracting and visualizing 2D vector blood flow velocities, instantaneous flow information, and trajectories by means of an integration-based flow visualization. vector flow data extraction form a visual analysis component of this work",blood flow,artery,vis,"Angelelli et al. proposed a pathlet-based continuous visualization, where, instead of points, short living pathlines were used, where only a fixed duration from the pathline head was shown and the rest was hidden. These pathlets were continuously reseeded with different selectable strategies, providing a more lagrangian perspective on the phenomena, while still requiring no interaction and being able to be updated continuously.",,angelelli.2014.jpg,"Angelelli, Paolo; Hauser, Helwig","We introduce an integrated method for the acquisition, processing and visualization of live, in-vivo blood flow in the heart. The method is based on ultrasound imaging, using a plane wave acquisition acquisition protocol, which produces high frame rate ensemble data that are efficiently processed to extract directional flow information not previously available based on conventional Doppler imaging. These data are then visualized using a tailored pathlet-based visualization approach, to convey the slice-contained dynamic movement of the blood in the heart. This is especially important when imaging patients with possible congenital heart diseases, who typically exhibit complex flow patterns that are challenging to interpret. With this approach, it now is possible for the first time to achieve a real-time integration-based visualization of 2D blood flow aspects based on ultrasonic imaging. We demonstrate our solution in the context of selected cases of congenital heart diseases in neonates, showing how our technique allows for a more accurate and intuitive visualization of shunt flow and vortices.","slice rendering, color coded, particles, flow visualization",---
5,Extracting and visualizing physiological parameters using dynamic contrast-enhanced magnetic resonance imaging of the breast,Armitage et al.,2005,CE-MRI,2,-3,-1,0,2,Organ,0,1,Anatomy,Method,"Direct visualization,Process analysis",1,0,0,1,"strong, only direct visualization with additional modeling",tissue growth/morphogenesis,Breast tumor,Medical image analysis,Optimization and modeling scheme for CE-MRI to acquire relevant physiological parameters and color coding them to direct visualization.,#NAME?,armitage.jpg,"Armitage, Paul; Behrenbruch, Christian; Brady, Michael; Moore, Niall","An analysis procedure is presented that enables the acquisition and visualization of physiologically relevant parameters using dynamic contrast-enhanced magnetic resonance imaging. The first stage of the process involves the use of a signal model that relates the measured magnetic resonance signal to the contrast agent concentration. Since the model requires knowledge of the longitudinal relaxation time T1, a novel optimization scheme is presented which ensures a reliable measurement. Pharmacokinetic modelling of the observed contrast agent uptake is then performed to obtain physiological parameters relating to microvessel leakage permeability and volume fraction and the assumptions made in the derivation of these parameters are discussed. A simple colour representation is utilized that enables the relevant physiological information to be conveyed to the clinician in a visually efficient and meaningful manner. A second representation, based on vector maps, is also devised and it is demonstrated how this can be used for malignant tumour segmentation. Finally, the procedure is applied to 14 pre- and post-chemotherapy breast cases to demonstrate the clinical value of the technique. In particular, the apparent improved representation of tissue vascularity when compared to conventional methods and the implications for this in treatment assessment are discussed.","color coded, slice rendering","Large, clinical, study  for validation"
6,3D Visualisation of Cerebrospinal Fluid Flow Within the Human Central Nervous System,"Aroussi, Howden, Vloerberghs",2006,MRI,3,-3,-2,-2,0,Organ,0,1,Physiology,Model,Process modeling,0.75,0.25,0,1,modeling to get 3D model and flow data and additional smaller encoding for flow analysis,Cerebrospinal fluid flow,Central Nervous system,Vis,Aroussi et al. have combined the structure from MRI data and fluid dynamics to explore cerebrospinal fluid dynamics in central nervous system. Flow is visualized as slices with vectors added directly into 3D model.,#NAME?,aroussi.jpg,"Aroussi, A.; Howden, L.; Vloeberghs, M.","The Cerebrospinal fluid (CSF) is a biomedical fluid contained within the Central Nervous System (CNS). It is produced in the ventricular system within the brain and is contained between the meninges, which are membranes lining the brain and the inside of the spine and cranium. It has a major role as a damper that protects the head from injuries and transports biochemical elements and proteins inside the brain. In this paper a three dimensional (3D) model of the Human Ventricular System (HVS) is used to investigate the flow of CSF within the human brain, using Computational Fluid Dynamics (CFD). CSF can be modelled as a Newtonian Fluid and its flow through the HVS can be visualized using CFD. In this investigation a 3D geometric model of the HVS is constructed from MRI data. It is the only model of its type to date. The flow of CSF within the HVS is a complicated phenomenon due to the complex HVS geometry. Understanding the nature of CSF flow allows engineers and physicians to design medical techniques and drugs to treat various HVS complications, such as hydrocephalus as a result of a tumour.","flow visualization, particles, streamlines",---
7,Real-Time Imaging of Skeletal Muscle Velocity,Asakawa et al.,2003,PC-MRI,2,-3,-2,0,0,Organ,0,1,Physiology,Method,Process analysis,1,0,0,1,direct visualization,Skeletal muscle velocity,"Muscle- biceps, triceps",Computing,Using PCMRI to track velocities of skeletal muscle motion,#NAME?,asakawa.jpg,"Asakawa, Deanna S.; Nayak, Krishna S.; Blemker, Silvia S.; Delp, Scott L.; Pauly, John M.; Nishimura, Dwight G.; Gold, Garry E.","Purpose: To test the feasibility of using real-time phase contrast (PC) magnetic resonance imaging (MRI) to track velocities (1–20 cm/second) of skeletal muscle motion. Materials and Methods: To do this we modified a fast real-time spiral PC pulse sequence to accommodate through-plane velocity encoding in the range of –20 to _x0001_20 cm/second. We successfully imaged motion of the biceps brachii and triceps brachii muscles during elbow flexion and extension in seven unimpaired adult subjects using real-time PC MRI. Results: The velocity data demonstrate that the biceps brachii and the triceps brachii, antagonistic muscles, move in opposite directions during elbow flexion and extension with velocity values in the muscle tissue ranging from –10 to _x0001_10 cm/second. Conclusion: With further development, real-time PC MRI may provide a means to analyze muscle function in individuals with neurologic or movement disorders who cannot actively complete the repeated motions required for dynamic MRI techniques, such as cine PC MRI, that are more commonly used in musculoskeletal biomechanics applications.","color coded, slice rendering",---
8,Two-photon microscopy: Visualization of kidney dynamics,Ashworth et al.,2007,Microscope,3,-6,-4,2,4,"Organelle, Cell, Tissue",0,1,Physiology,Method,Direct visualization,1,0,0,1,direct visualization,Intracellular dynamics in kidney,Kidney,Medicine,"A novel microscopy method, using dual photon detection, to show tissue spatial properties.",#NAME?,ashworth.jpg,"Ashworth, S. L.; Sandoval, R. M.; Tanner, G. A.; Molitoris, B. A.","The introduction of two-photon microscopy, along with the development of new fluorescent probes and innovative computer software, has advanced the study of intracellular and intercellular processes in the tissues of living organisms. Researchers can now determine the distribution, behavior, and interactions of labeled chemical probes and proteins in live kidney tissue in real time without fixation artifacts. Chemical probes, such as fluorescently labeled dextrans, have extended our understanding of dynamic events with subcellular resolution. To accomplish expression of specific proteins in vivo, cDNAs of fluorescently labeled proteins have been cloned into adenovirus vectors and infused by micropuncture to induce proximal tubule cell infection and protein expression. The localization and intensity of the expressed fluorescent proteins can be observed repeatedly at different time points allowing for enhanced quantitative analysis while limiting animal use. Optical sections of images acquired with the two-photon microscope can be 3-D reconstructed and quantified with Metamorph, Voxx, and Amira software programs.",experimental coloring,"Increase the depth of penetration, time series reconstruction"
9,Towards virtual physiological human: Multilevel modelling and simulation of the human anatomy and physiology,Ayache et al.,2005,Simulation,0,-9,0,-9,5,"Molecule, Organelle, Cell, Tissue, Organ",1,1,Both,Model,Process modeling,0,0,0,0,"Only modeling, but multisclae",Human physiology,Human body,Interdisciplinary,Interdisciplinary project to model and simulate human physiology,---,---,"Ayache, Nicholas; Boissel, Jean-Pierre; Brunak, Søren; Clapworthy, Gordon","Developing the computational framework and ICT based tools for the multilevel modelling and simulation of the human anatomy and physiology - here referred to as the Virtual Physiological Human (VPH)- is, perhaps, the ‘grand challenge’ for several disciplines at the cross-road of ICT and the biosciences. The VPH will have impact on the way health knowledge is formalised, acquired, understood, represented, analysed, communicated and validated. It will create a new basis for research and healthcare and will open up new opportunities for industrial development.",---,---
10,Patient-specific isogeometric fluid–structure interaction analysis of thoracic aortic blood flow due to implantation of the Jarvik 2000 left ventricular assist device,Bazilevs et al.,2009,"CT, simulation (NURBS-based isogeometric analysis)",3,-4,-2,-2,0,"Tissue, Organ",0,1,Physiology,Model,Process analysis,1,0,0,1,"partial patient data, partial additional modeling",Cardiovascular dynamics,Heart,Computing,"Bazilevus et al. proposed a method to encapsulate CT data with NURBS representation, and run a patient specific blood flow simulation on it. The result is than coupled together into visual analytics solution of blood flow with a pump (left ventricular assist device).",#NAME?,bazilevs.jpg,"Bazilevs, Y.; Gohean, J. R.; Hughes, T. J. R.; Moser, R. D.; Zhang, Y.","Left ventricular assist devices (LVADs) are continuous flow pumps that are employed in patients with severe heart failure. Although their emergence has significantly improved therapeutic options for patients with heart failure, detailed studies of the impact of LVADs on hemodynamics are notably lacking. To this end we initiate a computational study of the Jarvik 2000 LVAD model employing isogeometric fluid-structure interaction analysis. We focus on a patient-specific configuration in which the LVAD is implanted in the descending thoracic aorta. We perform computations for three pump settings and report our observations for several quantities of hemodynamic interest. It should be noted that this paper presents the first three-dimensional, patient-specific fluid-structure interaction simulation of LVADs.","color coded, mesh, NURBS, flow visualization",---
